,title,credit,desc
10,Voice,Arts 1,"Voice will introduce students to elementary vocal techniques in preparation for performance. We will practice the craft of singing, collaborate as an ensemble, and build confidence in ourselves and others. Students will use a variety of music to develop these skills while building performance-ready solo repertoires and ensemble pieces for at least one concert."
11,Robotics,Arts 1,"This course will introduce students to the exciting world of robotics and inspire their creativity and problem-solving skills. Through the utilization of LEGO SPIKE Prime, an advanced robotics kit, and the challenges presented in the First LEGO League (FLL) missions, students will embark on an immersive journey into the realms of engineering, programming, and teamwork."
12,Theatre Ensemble,Arts 1,"This course focuses on creating theatre through collaboration. Students will work together to create a performance by developing scenes through pre-scripted work, discussions, theatre games, improvisation, and scriptwriting. This will give students the opportunity to develop their unique voices and work together to create a live performance piece."
13,Architectural Design,Computers 1,"In this course, students will explore interiors and architectural design through 2D and 3D modeling using SketchUp. Students will explore the different styles of architecture and interior design through history and learn to recreate and adapt designs to create new, exciting, and thought-provoking environments. Creativity, critical thinking, and analysis skills will be exercised and refined through the design techniques learned. By the conclusion of this course, students will have a good understanding of architecture, color theory, and basic design concepts."
14,Honors Art Portfolio,Honors Art,"Students will focus on developing an art portfolio to show off their mastery of various artmaking techniques and skills. Students may practice new skills, create a series of cohesive works, or continue to develop pre existing skills and techniques. Those seeking to pursue art in college will get a chance to explore the application process. Students taking this course should have advanced art making experience."
15,Classical Hollywood,"English, Social Studies, or Arts 1","Classical Hollywood was a glorious time in the movie industry. But do you know anything about classical Hollywood? Would you like to know more? We will watch a variety of movies made between the 1930s and 1960s and reflect on what they are about, how they can explain and discuss the period in which they were made, and why they are important. Students will also explore the Hollywood studio system and the difficulties for actors and writers of the time."
16,Game Programming,Computers 2,"Computer programming languages are increasingly relevant in society, and knowing how to code is to know how to speak the language of the future. This course will teach basic coding through scripting in C# for the Unity 3D game engine. Unity provides an intuitive user interface that makes the possibilities of computer programming approachable and exciting. Game Programming is a project-driven course, with students developing several of their own games, building in sophistication as the course progresses."
17,Sculpture,Arts 1,"Students will create a variety of 3D works using various sculpting tools and materials. Students can expect to work with materials such as clay, cardboard, wood, and paper among other materials."
18,Designing for Theatre,Arts 1/2,"This course will focus on the basics of set and lighting design. Students will be able to work individually and collaborate in groups to conceptualize a full set and lighting design. Students will be introduced to hand drafting, creating detailed floor plans as well as construction plans and painter’s elevations. This class will directly help to focus on a design for the school show that will be implemented by the Theatre Tech class in Q3."
19,Drawing Studio,Arts 1,"Students will learn drawing fundamentals using various drawing media including graphite, pen, and charcoal. This course will focus on a basic understanding of drawing techniques involving shading and form. Students may create observational drawings of still-lives, nature, and portraiture from references of their choice."
20,Theatre Tech,Arts 1/2,"This course will provide students with a solid foundation in all major aspects of creating for a performance. Students will use strategies centered on technical language, implementation, and techniques. Through the course, the students will work towards installing the lighting plot and set for the school’s spring show. This course will also work towards understanding the use of sound for theatre as well as lighting board operation. Students will be challenged to collaborate in groups and grow as a team as well as branch out individually to explore their own strengths and areas of interest. Please be mindful that students will be expected to be part of the build and installation of all elements and to partake in backstage work during performances (all outside class work will contribute to community service hours)."
21,Film Appreciation: Murder Mystery,Arts or English 2,"This course will explore the filmic world of the Murder Mystery from the classic whodunits to modern psychological thrillers. We will delve into the captivating narratives, intricate plots, and intriguing characters that make this genre so compelling. During this quarter, students will explore the secrets behind some of the most iconic murder mystery films of all time. They will analyze the artistic techniques employed by filmmakers to create suspense, build tension, and keep audiences on the edge of their seats. By studying the evolution of murder mystery films, we will explore how the genre has transformed over the years, adapting to cultural changes and pushing the boundaries of storytelling."
22,Choreography for Broadway,Arts or PE/Health 1,"Through games and exercises we will explore concepts of choreography that are important to take into account when designing a musical theatre song and dance number for the stage. We will work on a big group number together and students will collaborate on small group numbers as well as working on a solo, all inspired by the music of Broadway. This course can be taken independently from the Morning Module Musical Theatre course, but that course will screen full shows, while we will not, and this course will provide time to work on choreography for the Morning Module exhibition."
23,Machine Learning with Python,Honors Computers,"In this course, students will learn the fundamentals of machine learning and gain proficiency in Python, a powerful programming language widely used in the field. Through a combination of theoretical instruction and practical exercises, we will become familiar with popular machine learning algorithms, and will learn how to implement these algorithms using Python libraries such as NumPy, Pandas, and scikit-learn, gaining hands-on experience in model training, evaluation, and deployment. By the end of the course, students will have a solid understanding of the foundations of machine learning, proficiency in Python programming, and hands-on experience in applying machine learning algorithms to solve real-world problems. This course lays the groundwork for students interested in pursuing further studies or careers in data science, artificial intelligence, or related fields."
24,Experimental Narration,Honors English,"The Modern period of literature (roughly 1890-1945) was characterized by the intentional rejection of traditional forms and styles of storytelling. One key element of the movement was a reconsideration of the role and function of the narrator, the lens through which we experience a story. This honors course is designed around the close reading and analysis, primarily through writing and discussion, of modernist texts known for their experimental narration. We will be working to answer the EQ: "
25,The Crucible,English 1,Great plays contain multitudes of meanings. When Arthur Miller’s 
26,Reading Queerly,English 2,"In this literature class, we will explore not only novels written by and about the LGBTQ+ community, but also the experiences, cultures, histories, and politics that influence those stories. For our purpose, we will use bell hook’s definition of queerness: “…queer as being about the self that is at odds with everything around it and has to invent and create and find a place to speak and to thrive and to live.” Through the study of a variety of texts, poems, and short stories, we will explore topics such as defining queer literature, the conversation between the literary canon and said literature, and the celebration of centering stories that are norm-disruptive. EQ: "
27,Historical Fiction,English 1,"History is full of compelling characters, dramatic stories, and pivotal events that have shaped the world as we know it today. Narrative fiction gives us the opportunity to flesh out a skeleton of facts and breathe life into historical events. Historical fiction encompasses everything from the dramatization of real events (as in the musical "
28,Musical Theatre,English 1,"The American musical reflects the culture of the times, but often also influences change in that culture. We will explore the historical context and evolving storytelling methods of several game-changing Broadway shows to explore the question: "
29,The Language of Shakespeare,English 2,"Reading the plays of William Shakespeare, who is generally thought of as the most significant English writer of all time, is practically a high school rite of passage. Although his language may seem stilted and unfamiliar to the ears of some young readers, because Shakespeare’s plots and themes transcend human experience, many argue that his writing remains fundamentally accessible across history. On the other hand, some historical linguists suggest that Shakespeare lovers of all kinds miss many more of his basic meanings than they probably realize. There is no disputing that Shakespeare had an outsized impact on the English language, itself a massive influencer in global communication. However, language changes quickly and constantly! This course will involve a lot of literary analysis (exploring some of Shakespeare’s plays and poems, including Macbeth), but it will also incorporate some historical linguistics (etymology, syntax, etc.) as we work to address the EQ: "
30,The Art of the Argument,Honors English,"Aristotle tells us that “rhetoric is the ability to discover in each particular case all the available means of persuasion,” and the ancient Greeks believed that whomever was not a student of rhetoric would be a victim of it. In this class, you will develop skills to analyze the way rhetoric, in its various forms, addresses audiences. By paying attention to the strategies that good writers and speakers use to persuade their particular audiences, you will learn to reason better and to persuade others in your own writing and speaking. We will practice by reading existing law-based arguments and creating our own, and writing scholarly pieces, marketing materials, and more in order to explore the question: How can the tools of rhetoric be used to argue effectively?"
31,Ancient Greek Theatre,English or Arts 1,"This course introduces and explores the origins of theatre through storytelling. Students will develop storytelling skills using archetypal characters and explore the use of the chorus to engage audiences. As part of this course, students will be expected to take part in developing, producing, directing, and partaking in short performances in front of a live audience. We will explore the importance of this period in creating what we now understand as actors, theatres, plays, and the definitions of tragedy and comedy. This course will focus on the technical approaches to storytelling that were so popular during the period."
32,Gothic Literature,Honors English,"H.P. Lovecraft once said, “The oldest and strongest emotion of mankind is fear.” In this class, we will learn how and to what end texts exploit this oldest and strongest emotion through well-known tropes of terror–haunted houses, monsters, ghosts, ghouls, madmen, madwomen, specters and such. Gothic literature tends to challenge normal categories by creating characters, settings, or events that exist in the gray areas between two seemingly opposite groups, such as human/inhuman, living/dead, familiar/unfamiliar, holy/demonic, or self/other. In rejecting standard categories, Gothic texts almost always act as social commentary about the culture that creates them. We will explore the elements that create the genre and try to answer the question: How have authors used Gothic texts over time to engage, inform, and even warn their readers?"
33,Page to Stage,English 1,"This course introduces and explores theatre from page to stage as a live performing art. Students will explore how the written word translates into live-action by using a set of staged practices rich with social context. Learning through this tradition of theatre, participants will appreciate social contexts related to the stage. Students will have the opportunity to study scripts and learn basic acting and directing tools to stage short performance pieces."
34,New Masterpieces of Fantasy Literature,English 2,"Fantasy fiction is more popular than ever, but although "
35,Memoir Writing: Finding Your Story,English 1,"Everyone has a personal story worth telling. In this class, we learn about narrative structure and writing skills/techniques to create our own memoir pieces, as well as other works of creative nonfiction. We will use the work of professional writers as inspiration (including Anne Lamott’s esteemed book Bird by Bird: Some Instructions on Writing and Life), we will refine our writing through revision and editing, and we will learn how to participate in a writer’s workshop to give and receive feedback."
36,"Poetry, English 1",,"Poetry is an art that can be written, spoken, or performed–it is a total experience of language. To appreciate this art, we must learn the tools and techniques employed by the artists in its creation, and then study the end effect. You’ll be expected, early on, merely to respond to the poems in a human way. As we begin to share some ideas of what a poem is, what it does, and how, and why–we’ll explore the poems on a more sophisticated level. We will read a lot of poems, both traditional and those that break from tradition, and we will also craft and share our own poetry in an attempt to answer the question: "
37,Sociology & Science Fiction,Social Studies or English 1/2,"Science fiction is often associated with fantastical technologies and funny looking alien species, but a common theme throughout much of science fiction is the exploration of various social constructs and ideologies. Through the construction of invented or adjusted realities, writers can contemplate through fiction what thinkers like Marx, Durkheim, Keynes, and Hayek wrote in response to the changing landscape of their times. In both cases, thinkers diagnose the diseases of society and prognosticate their ultimate and inevitable outcome. This course will study these prognostications, focusing on how science fiction reflects the ideas of great sociological thinkers."
38,Classical Hollywood,"English, Social Studies, or Arts 1","Classical Hollywood was a glorious time in the movie industry. But do you know anything about classical Hollywood? Would you like to know more? We will watch a variety of movies made between the 1930s and 1960s and reflect on what they are about, how they can explain and discuss the period in which they were made, and why they are important. Students will also explore the Hollywood studio system and the difficulties for actors and writers of the time."
39,Literature & the Meaning of Life,English 2,"What is the meaning of life? Philosophers have been pondering this question for thousands of years. In recent centuries, the novel has emerged as the most popular and prestigious form of literature, especially here in the United States. We will read ancient, medieval and modern literature to explore the meaning of life, especially how authors use literary techniques to shine a light on life’s most important questions."
40,Novel Writing,English 1,"The goal of Novel Writing class is to write a 50,000-word novel. (Don’t let the number scare you; you can do it and you’ll get lots of support!) We will use all of Q3 to work on completing a novel. We will read and analyze literary exemplars in mini-lessons, but the bulk of each day will be spent writing and workshopping our novels. At the end we’ll celebrate with a big publishing party!"
41,Scholarly Writing,English 1,This class will offer additional instruction on the method of analytical writing to help students meet The New School’s scholarly writing expectations for completing the junior portfolio and preparing for senior year.
42,Magical Realism,English 2,"Magic and realism seem like contradictory terms. And yet a fascinating literary movement, known as “magical realism,” began in Latin America in the 20th century and continues to thrive today. The distinguishing feature of this movement is the combination of detailed, matter-of-fact narration with surreal or fantastical elements, which challenges and delights the reader while also raising interesting questions about the nature of experience and reality. In this seminar-based course, we will read short stories by authors such as Julio Cortázar and Jorge Luís Borges, "
43,Film Appreciation: Murder Mystery,Arts or English 2,"This course will explore the filmic world of the Murder Mystery from the classic whodunits to modern psychological thrillers. We will delve into the captivating narratives, intricate plots, and intriguing characters that make this genre so compelling. During this quarter, students will explore the secrets behind some of the most iconic murder mystery films of all time. Students will analyze the artistic techniques employed by filmmakers to create suspense, build tension, and keep audiences on the edge of their seats. By studying the evolution of murder mystery films, we will explore how the genre has transformed over the years, adapting to cultural changes and pushing the boundaries of storytelling."
44,Spanish 1,Foreign Language,"This course is a dynamic and interactive introduction to the Spanish language and culture. Through interactive activities, easy readings, everyday dialogues, and songs, the students will learn basic vocabulary and grammar structures for daily routine situations while expanding their knowledge about the culture and customs of the Spanish speaking world."
45,American Sign Language 1,Foreign Language,"ASL I is an introduction to American Sign Language and the Deaf community. Students will learn about and/or practice: fingerspelling, identifying and signing words used in everyday life, asking questions, the special structure of sentences in ASL, the role of expression (non-manual markers) in communication, the foundations of ASL’s history, and the breadth of Deaf culture."
46,German 1,Foreign Language,"German culture and language has shaped more than you realize: Music you listen to, the food you eat, and even the current English language you speak have all been heavily influenced by German! In this German class, students will gain insight into the German language, culture, history, and people. We will explore German, Austrian, and Swiss videos, film, art, music, literature, historical figures, and other authentic content. The immersion approach, anchored by our new Klasse! A1 curriculum, which includes authentic teen themes, stories, videos, music, and activities. Several cultural field trips (in person or virtual) to embassies, local restaurants, and museums will be planned, as well as guest visitors. Assessments are both skill and project-based."
47,Spanish 2,Foreign Language,"This course further develops the basics of grammar, builds vocabulary in the context of everyday events, and expands cultural knowledge of the Spanish-speaking world. Through ﬁlms, short stories and projects presented and discussed in this class, we solidify students’ communication skills."
48,German 2,Foreign Language,"In German 2, students continue development of their listening, reading, writing, and speaking skills, with emphasis on the past perfect and future tenses. The course will be supported by our Klasse! Textbook series, as well as supplemental material. Assignments are both exercise and project based, and students are expected to converse increasingly in German."
49,American Sign Language 2,Foreign Language,"This course is for those who have completed ASL 1. It starts with a review of the vocabulary learned in the previous course. It emphasizes comprehending, signing, and developing receptive skills. Students will learn how to use classifiers, mouth morphemes, and quantifiers, as well as identify and sign words used in everyday life and practice conversations in a variety of different subjects. Students will also focus on researching and reporting about a deaf figure in Deaf History."
50,Spanish 3,Foreign Language,"This course is designed for students who, after finishing Spanish 2, want to continue expanding the knowledge of the Spanish language and culture. Through short stories and films of the Spanish speaking World presented in this class, the course reviews and refines grammar structures, expands vocabulary, and improves student’s communication and interpersonal skills. Cultural aspects presented and discussed in Spanish are closely integrated with the language elements, giving the students an appreciation for the diversity and cultural richness of the Spanish-speaking world."
51,American Sign Language 3,Foreign Language,"In this course students continue to develop and refine their proficiency in American Sign Language as it expands on what was learned in ASL 2. Students will learn to communicate using more complex language structures on a variety of topics, moving from concrete to more abstract concepts. Students will add vocabulary and idiomatic expressions in the context of everyday interactions and social relationships and gain a deeper understanding of the world around them. The culture, history, current events, and traditions of the Deaf community are expounded upon through selected readings, visual recordings, and other authentic materials."
52,Advanced German,Foreign Language,"In German 3 students will continue to build upon their foundational knowledge, and begin to become more comfortable in both the grammar and speaking of the language. The course will be supported by our Klasse! Textbook series, as well as supplemental material. Assessments will be both skill and project-based, with the goal of becoming both comfortable and functional in the language. Several cultural field trips (in person or virtual) to embassies, local restaurants, and museums will be planned, as well as guest visitors!"
53,Advanced Spanish,Foreign Language,"This course is designed for students who, after finishing Spanish 3, want to continue expanding their knowledge of the Spanish language and culture. Throughout the course we will be reinforcing previous concepts and learning some intermediate and advanced grammar rules. We will be reading intermediate level stories and watching films from the Spanish speaking world. Cultural aspects presented and discussed in Spanish are closely integrated with the language elements, giving the students an appreciation for the diversity and cultural richness of the Spanish-speaking world."
54,Honors Spanish,Foreign Language,"This course is designed to provide students with a variety of opportunities to further improve their proficiency in language skills. Through literature, poems, current event readings, podcasts and films presented in class, this course emphasizes communication by applying interpersonal, interpretive, and presentational modes of communication in real-life situations. We also will review and refine grammar structures and expand vocabulary. Cultural aspects are closely integrated with the language elements."
55,Psychology of Branding,Social Studies 1,"Being a consumer has never been easier–we can buy things with the click of a button on a device we carry in our pocket. We can shop without ever leaving our homes and have our purchases shipped across the world or from the store down the street. In a market of this magnitude, how can companies make their products stand out? By building a brand and thus telling a story that connects with their customers. In this class, we will explore the psychology of branding–what is a brand, how is it created, and how does it impact us, the consumers? Our research will culminate in the creation of your own brand, a process that will attempt to answer the question:"
56,The Vietnam War,US History or Government 2,"The Vietnam War was a harrowing chapter of world history that reshaped America’s cultural landscape. This course will be divided into two units to examine the complex political and social implications of the United States’ role in the war: the first will study the global governments at the core of the struggle as well as significant military events. The second will explore primary accounts, poetry, art, and music from both hemispheres to consider the legacy of this tragic conflict."
57,Government: Quantifying Democracy,Government 1,Are democracies actually free? This class is a joint Morning and Afternoon Module course and students must sign up for both. Government concepts include an examination of the characteristics of democratic and authoritarian governments. In the second half of the course students will explore a variety of statistical analyses using data obtained from various sources. EQ: 
58,Language & Identity,General Science or Social Studies 2,"This course will look at what recent scientific research says about the relationship between language and social identity. Questions we will consider include: How do we create our own identities when we use language? How do age, gender, ethnicity, and class influence the way people use language? How do speakers use language differently in different situations? How and why do various dialects differ from each other? How does language change spread between communities? How has the internet age accelerated the rate of language change and shaped the language of Millenials and Gen Z? In order to develop answers to these questions we will practice reading and interpreting scientific journal articles. Students will also get support en route to writing a research paper tackling the EQ: What does your language say about you?"
59,Taxation and Value,Government 2,"In this course, we will delve into the multifaceted world of taxation, examining the historical development of tax systems, the underlying economic theories, and the various types of taxes levied by governments. We will learn about the key objectives of taxation policy, including revenue generation, income redistribution, economic stabilization, and social and environmental goals. We will also explore the interplay between taxation and government spending, and how fiscal policy influences economic growth and public welfare. The exhibition for this course will take the form of a research paper answering the essential question:"
60,Teaching Hate,World Studies-Geography or Social Studies 1,"Psychologists debate whether or not the hatred of others is a human instinct: what is the human capacity for discrimination, violence, and even genocide? Whatever our nature, hatred campaigns across time and space are no accident. Teaching Hate will investigate multiple cases across the world to consider how education, propaganda, and social interactions facilitate prejudice, sometimes to the point of mass murder."
61,The Making of Asian America,US History 1,"What does it mean to be Asian-American? Often, hyphenated identity labels comprise a group of people with incredibly diverse identities and experiences. In this class, we’ll chart the path of Asian immigration to the United States from its founding until today. We’ll use historical sources, narratives, and oral histories to analyze how Asian identity has grown and changed in America, and further discuss the formation of an Asian-American identity throughout time. EQ: "
62,American Values,Social Studies 1,"We will begin the class with readings and discussions on traditional American Values including Individualism, Hard Work, Progress, Freedom and Equality, and the changes and ideals that have challenged our shared values. We will explore social changes, technological changes, economic changes and health and environmental changes that have altered our values."
63,Conspiracy Theories,Social Studies 1,"Get out your tin foil hats! In this class we will question principles that we have previously accepted. We will select multiple “truths” to research, form an opinion on, and write argumentatively about. Students may study the dimensions of the Earth, the construction of The Great Pyramids, or the existence of aliens. This course is designed to help students improve their scholarly writing skills. EQ: "
64,The American Artist,Arts/Social Studies or US History 1,"Students will analyze the artwork and backgrounds of various American artists., researching and discussing artists from varying cultures, time periods, and experiences. The work of both American born and immigrant artists will be examined. Students will explore how American culture and societal norms affect the artistic development of an artist. EQ: "
65,Cognitive Bias Seminar,Social Studies 2,"There can be no doubt that the human brain is uniquely powerful: apparently alone among Earth’s animals, humans are capable of communicating across time and space using abstract symbols, of creating complex mental models, and of contemplating their own existence (as well as contemplating their own contemplation.) However, our brains also fail us constantly, usually in ways that we don’t immediately recognize. In this class we will be reading about and discussing the nature of the various errors in thinking that human minds naturally fall prey to, recognizing the impact of these cognitive biases on real life events and situations, and trying to figure out what we can do about it. EQ: "
66,Founding Father Philosophies,US History or Government 1,"Today’s Americans are rarely able to recall which of our first presidents supported federalism or championed states’ rights, nor can many name the “seven” founding fathers whose discourse conceived the political framework of our nation. In this class, we will study the ideas that built America and the figures behind them. We will also retrace the origin of modern party politics and consider the ways in which the founding fathers’ visions have both failed and succeeded."
67,Economics,Government or Applied Math 2,"This course will cover introductory topics related to the fields of microeconomics and macroeconomics. Microeconomics topics include analysis of individuals and businesses on the economy, like supply, demand, and market equilibrium. Macroeconomic topics conceptualize the economy as a whole, including an analysis of broader trends like growth, inflation, and trade. EQ: "
68,Congressional Hearings,Honors Government or US History,"This course offers a deep dive into the workings of America’s legislative branch. To analyze the complexities of legislative processes, we’ll take a particular focus on congressional investigations and hearings. This will include the study of cases such as Teapot Dome, Watergate, the Iran-Contra affair, various presidential impeachments, and more. EQ: "
69,Mid-Century Crossroads,"The 1950s and 60s, US History 1","The mid twentieth century witnessed intensely accelerated change in American society. Following World War II, political, economic, and social patterns led to widespread divisions within America. A time which appeared prosperous and idyllic on the surface came to an abrupt halt as Black Americans and women demanded civil rights, America’s youth became disillusioned, and conflicts arose between the generations. This course analyzes the causes and effects of this time period and its permanent impact on American culture."
70,World Religions,World Studies-Geography or Social Studies 1,"No matter where we humans live, most of us end up worshiping the divine. Why? And what is religion anyway? We will explore the many facets of religion, as well as the following traditions: Judaism, Christianity, Islam, Baha’i Faith, Hinduism, Buddhism, Jainism, Sikhism, Confucianism, and Daoism. We will take field trips to visit different houses of worship and meet priests, rabbis, imams, and other religion experts. Get ready to explore the world…and world religions."
71,Immigration and America,World Studies-Geography or Social Studies 1,"Immigration is at the heart of American history and culture. With the flow of migrants to North America after 1492, Native Americans had to resist, submit, adapt, and/or migrate. Most died. Despite centuries of genocide, Native American culture thrives today. In the 1600s, the flow of people from Britain, France, and Spain increased, as did the stream of kidnapped Africans forcibly brought to America and enslaved. Over the centuries, the mix of migrants has become richer and more complex. Migration to America has created a rich and diverse culture–and much conflict. This course will explore the multifaceted history and impacts of migration to America, with a focus on current issues and controversies."
72,Rome: From Republic to Empire,World Studies-Geography 2,"In 49 BC, Julius Caesar crossed a small river called the Rubicon and plunged Rome into cataclysmic civil war. Few moments in history have had such far-reaching consequences, marking the end of the Republic and the beginning of the Empire. Who was Julius Caesar? Was he a real-life Darth Vader or a savior? How did this moment come about, and what did it lead to? In this course, we will seek to answer these questions by reading and discussing "
73,Game Theory in Government,Government 1/2,"Arms races between superpowers or local rival nations offer an interesting look at strategic thinking. Both countries are better off when they cooperate and avoid an arms race. Yet the dominant strategy for each is to arm itself heavily. This example of “The Prisoner’s Dilemma” is just one facet of game theory, the formal study of strategic decision making, of strategy and conflict–something we see in governmental decisions time and again. The application of game theory to political science is focused in the overlapping areas of fair division, political economy, public choice, war bargaining, positive political theory, and social choice theory. In this class, we will study the concepts and philosophy of game theory, and their applications as used in political situations across time. EQ: "
74,Sociology & Science Fiction,Social Studies or English 1/2,"Science fiction is often associated with fantastical technologies and funny looking alien species, but a common theme throughout much of science fiction is the exploration of various social constructs and ideologies. By constructing invented or adjusted realities, writers can contemplate through fiction what thinkers like Marx, Durkheim, Keynes, and Hayek wrote in response to the changing landscape of their times. In both cases, thinkers diagnose the diseases of society and prognosticate their ultimate and inevitable outcome. This course will study these prognostications, focusing on how science fiction reflects the ideas of great sociological thinkers."
75,Classical Hollywood,"English, Social Studies, or Arts 1","Classical Hollywood was a glorious time in the movie industry. But do you know anything about classical Hollywood? Would you like to know more? We will watch a variety of movies made between the 1930s and 1960s and reflect on what they are about, how they can explain and discuss the period in which they were made, and why they are important. Students will also explore the Hollywood studio system and the difficulties for actors and writers of the time."
76,Women’s History: The Sequel,Honors US History,"A continuation of the Honors Women’s History course, this class will chronicle women’s history in America following Constitutionally-protected national suffrage in 1920- a momentous achievement, but one that revealed that the battle for equality was far from over. We will analyze the evolution of women’s identities and roles in the United States from the early 1900s until today and discover how trends in American society and politics were inseparable from that evolution. The course material will cover women from all corners of American life."
77,Positive Psychology,Social Studies 1,"Much psychology research has focused on what is wrong with people—mental illness—but not as much on what is right. Positive psychology is the scientific study of human flourishing. In our class we will complete a brief overview of psychology and then dive into techniques to feel more positive emotions, engage in life, build relationships, find meaning, and pursue personal goals. Students will come away from the course with many tools to live a flourishing life."
78,The Road to Unfreedom,World Studies-Geography or Social Studies 1,"Democracy is under threat around the world. From Russia to Turkey to Europe, fascist ideas and authoritarian governments are spreading and getting stronger. The threat is real even in the United States, the oldest modern democracy. Why? What factors are contributing to this trend? Will it get worse in the future? How can people fight back? In this course, we will consider these questions as we learn about recent history and current events and read a series of articles and short books, including "
79,The Ottoman Empire,World Studies-Geography or Social Studies 1,"October 29, 2023 will mark the 100th anniversary of the formation of the Republic of Turkey. The current president and his political party have publicly stated their desire to return to the ways of the Ottoman Empire era. Why is Turkey desiring to return to this time after 100 years? In this course we will explore the values, cultures and history of the Ottoman Empire and how it contrasts with the Republic of Turkey. We will focus particularly on the transition from Empire to Republic at the beginning of the 20th century."
80,Civil War in America,US History 2,"No period in American history endured more hostility at home than that of the Civil War, though today’s politics sometimes echo an eerily similar sentiment. The story of the Civil War began decades before the first shot at Fort Sumter with years of ideological conflicts throughout America. This class will be an in-depth study of the twenty years from 1845 to 1865 alongside an occasional examination of parallels to modern events. Emphasis will be placed on the coming of the Civil War, the secession crisis, and on both the military and nonmilitary events of the war years. Special attention will be given to the objectives behind each side’s struggles and the multiple “freedoms” for which the war was fought, as well as the Civil War’s far-reaching legacy."
81,Personal Finance,Applied Math or Social Studies 1,"Financial literacy is key to helping us reach our goals in life. It is essential that we be able to recognize options, analyze those options, and plan for our success. Students will learn strategies for managing and tracking their spending and saving. We will discuss the many financial decisions that will likely affect students’ lives, from selecting a credit card, understanding a credit score, saving for retirement, buying a house or a car and what expenses they can expect to incur when they are out on their own."
82,Positive Psychology,Social Studies 1,"Much psychology research has focused on what is wrong with people—mental illness—but not as much on what is right. Positive psychology is the scientific study of human flourishing. In our class we will complete a brief overview of psychology and then dive into techniques to feel more positive emotions, engage in life, build relationships, find meaning, and pursue personal goals. Students will come away from the course with many tools to live a flourishing life."
83,The Arab Spring,World Studies-Geography or Social Studies 1,"The Arab Spring, in 2011, was a series of uprisings that spread like wildfire throughout the Arab world, spurring events that changed the region. In this course we will investigate why and how the uprisings occurred, what explains the varied trajectories and the aftermath. By the end of the course, students will work together on a project and report the uprisings of each nation involved in the Arab Spring."
84,Middle School Math Concepts,Math,"Middle School Math Concepts incorporates basic math and arithmetic calculations. We will explore units that include but are not limited to fractions, decimals, integers, expressions, ratios, proportions, and the coordinate plane."
